step,timestamp,candle_index,direction,reason,event
RANGE_to_SWEEP,2024-05-23T02:00:00,34,,Sweep @ 2381.58000 idx=34,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-05-23T04:00:00,42,,Displacement | body_ratio=0.688 wick=6.95000,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-23T04:30:00,44,,Sweep @ 2366.77000 idx=44,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-23T14:30:00,84,,Sweep @ 2369.45000 idx=84,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-05-23T15:30:00,88,,Displacement | body_ratio=0.733 wick=6.00000,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-23T16:15:00,91,,Sweep @ 2369.90000 idx=91,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-23T18:15:00,99,,Sweep @ 2340.43000 idx=99,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-23T23:00:00,118,,Sweep @ 2330.87000 idx=118,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-24T04:00:00,134,,Sweep @ 2326.82000 idx=134,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-05-24T04:15:00,135,,Displacement | body_ratio=0.858 wick=5.36000,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-24T05:30:00,140,,Sweep @ 2325.43000 idx=140,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-24T11:30:00,164,,Sweep @ 2340.76000 idx=164,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-24T15:30:00,180,,Sweep @ 2335.62000 idx=180,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-24T20:45:00,201,,Sweep @ 2332.00000 idx=201,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-27T01:15:00,215,,Sweep @ 2337.54000 idx=215,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-27T05:15:00,231,,Sweep @ 2341.19000 idx=231,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-27T10:30:00,252,,Sweep @ 2338.17000 idx=252,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-05-27T11:00:00,254,,Displacement | body_ratio=0.815 wick=3.46000,STATE_TRANSITION
DISPLACEMENT_to_EXPANSION,2024-05-27T11:15:00,255,,Bullish expansion | close=2342.72000 disp_close=2341.48000,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-28T04:15:00,309,,Sweep @ 2349.23000 idx=309,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-05-28T04:30:00,310,,Displacement | body_ratio=0.749 wick=4.22000,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-28T15:30:00,354,,Sweep @ 2357.12000 idx=354,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-29T01:15:00,389,,Sweep @ 2361.59000 idx=389,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-29T04:45:00,403,,Sweep @ 2355.92000 idx=403,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-29T08:30:00,418,,Sweep @ 2361.37000 idx=418,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-05-29T09:00:00,420,,Displacement | body_ratio=0.939 wick=3.28000,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-29T11:00:00,428,,Sweep @ 2348.86000 idx=428,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-29T14:45:00,443,,Sweep @ 2338.63000 idx=443,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-29T23:00:00,476,,Sweep @ 2336.08000 idx=476,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-30T03:15:00,489,,Sweep @ 2335.70000 idx=489,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-30T06:30:00,502,,Sweep @ 2331.80000 idx=502,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-30T10:15:00,517,,Sweep @ 2337.75000 idx=517,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-30T14:15:00,533,,Sweep @ 2339.65000 idx=533,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-30T22:15:00,565,,Sweep @ 2340.88000 idx=565,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-31T03:45:00,583,,Sweep @ 2347.60000 idx=583,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-05-31T05:30:00,590,,Displacement | body_ratio=0.817 wick=4.38000,STATE_TRANSITION
DISPLACEMENT_to_EXPANSION,2024-05-31T05:45:00,591,,Bearish expansion | close=2342.62000 disp_close=2343.38000,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-31T11:00:00,612,,Sweep @ 2339.73000 idx=612,STATE_TRANSITION
RANGE_to_SWEEP,2024-05-31T15:15:00,629,,Sweep @ 2345.12000 idx=629,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-05-31T17:00:00,636,,Displacement | body_ratio=0.885 wick=11.43000,STATE_TRANSITION
DISPLACEMENT_to_EXPANSION,2024-05-31T17:30:00,638,,Bearish expansion | close=2336.17000 disp_close=2338.08000,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-03T04:15:00,677,,Sweep @ 2331.07000 idx=677,STATE_TRANSITION
SWEEP_to_DISPLACEMENT,2024-06-03T06:15:00,685,,Displacement | body_ratio=0.943 wick=3.53000,STATE_TRANSITION
DISPLACEMENT_to_EXPANSION,2024-06-03T06:30:00,686,,Bearish expansion | close=2323.07000 disp_close=2323.96000,STATE_TRANSITION
EXPANSION_to_RETEST,2024-06-03T14:30:00,718,,Retest | depth_abs=0.69000 ceiling=1.09200,STATE_TRANSITION
RETEST_to_EXECUTION,2024-06-03T14:45:00,719,,Risk approved → entering execution,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-03T15:30:00,722,,Sweep @ 2334.03000 idx=722,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-04T04:45:00,771,,Sweep @ 2343.45000 idx=771,STATE_TRANSITION
RANGE_to_SWEEP,2024-06-04T09:15:00,789,,Sweep @ 2351.89000 idx=789,STATE_TRANSITION
