"FullName","Name","LastWriteTime","Length"
"D:\Tradelatest\docs\research-readiness\ic-003-shape-narratives.md","ic-003-shape-narratives.md","06-08-2026 21:22:21","1219"
"D:\Tradelatest\docs\timeline.md","timeline.md","06-08-2026 21:17:47","23003"
"D:\Tradelatest\docs\topics\readme.md","readme.md","06-08-2026 21:17:37","11012"
"D:\Tradelatest\docs\topics\research-measurement-contract.md","research-measurement-contract.md","06-08-2026 21:17:30","9162"
"D:\Tradelatest\docs\governance\MEASUREMENT_CONTRACT.md","MEASUREMENT_CONTRACT.md","06-08-2026 21:16:22","16292"
"D:\Tradelatest\docs\reference\script-matrix.md","script-matrix.md","06-08-2026 21:04:14","50342"
"D:\Tradelatest\docs\current-findings.md","current-findings.md","06-08-2026 21:02:49","253087"
"D:\Tradelatest\docs\governance\phase1_duplicate_formula_identity_closure-2026-07-10.md","phase1_duplicate_formula_identity_closure-2026-07-10.md","06-08-2026 20:12:05","1841"
"D:\Tradelatest\docs\knowledge-map.md","knowledge-map.md","06-08-2026 19:43:47","10977"
"D:\Tradelatest\docs\implementation_plan\pre-converstion-dont-read-cryptic-liskov.md","pre-converstion-dont-read-cryptic-liskov.md","06-08-2026 19:34:59","10447"
"D:\Tradelatest\docs\implementation_plan\c-users-hi-downloads-zone-x-spec-v0-8-m-steady-turing.md","c-users-hi-downloads-zone-x-spec-v0-8-m-steady-turing.md","05-08-2026 21:41:22","11529"
"D:\Tradelatest\docs\implementation_plan\task-build-a-vision-assisted-silly-scone.md","task-build-a-vision-assisted-silly-scone.md","05-08-2026 21:25:51","12041"
"D:\Tradelatest\docs\implementation_plan\crtstateresolver-backtestrunner-how-each-shimmering-toast.md","crtstateresolver-backtestrunner-how-each-shimmering-toast.md","05-08-2026 17:53:51","1797"
"D:\Tradelatest\docs\research\preregistration-crt-semantic-parity.md","preregistration-crt-semantic-parity.md","05-08-2026 16:01:46","11397"
"D:\Tradelatest\docs\implementation_plan\i-want-to-check-graceful-fog.md","i-want-to-check-graceful-fog.md","05-08-2026 09:48:43","15150"
"D:\Tradelatest\docs\analysis\session-log-archive\session-log-2026-07-23_to_2026-08-02.md","session-log-2026-07-23_to_2026-08-02.md","04-08-2026 23:53:55","160061"
"D:\Tradelatest\docs\topics\crt-spine.md","crt-spine.md","04-08-2026 23:39:52","9363"
"D:\Tradelatest\docs\implementation_plan\pure-conversation-when-you-curried-ocean.md","pure-conversation-when-you-curried-ocean.md","04-08-2026 23:11:52","15217"
"D:\Tradelatest\docs\reference\schemas.md","schemas.md","02-08-2026 21:16:24","35803"
"D:\Tradelatest\docs\reference\conventions.md","conventions.md","02-08-2026 21:16:24","25068"
"D:\Tradelatest\docs\reference\cli-matrix.md","cli-matrix.md","02-08-2026 16:59:24","12851"
"D:\Tradelatest\docs\architecture\trigger-vocabulary.md","trigger-vocabulary.md","02-08-2026 16:50:27","11560"
"D:\Tradelatest\docs\governance\REPOSITORY_CONSTRUCTION_PROTOCOL.md","REPOSITORY_CONSTRUCTION_PROTOCOL.md","02-08-2026 16:50:16","4955"
"D:\Tradelatest\docs\implementation_plan\script-implementation-traceability-sits-design.md","script-implementation-traceability-sits-design.md","02-08-2026 09:28:48","52923"
"D:\Tradelatest\docs\topics\training-calibration.md","training-calibration.md","02-08-2026 08:49:42","4577"
"D:\Tradelatest\docs\topics\scoring-engines.md","scoring-engines.md","02-08-2026 08:49:42","5235"
"D:\Tradelatest\docs\topics\model-intent-and-feature-ownership.md","model-intent-and-feature-ownership.md","02-08-2026 08:49:42","43851"
"D:\Tradelatest\docs\topics\goal-layer.md","goal-layer.md","02-08-2026 08:49:42","6849"
"D:\Tradelatest\docs\topics\fusion-decision.md","fusion-decision.md","02-08-2026 08:49:42","6056"
"D:\Tradelatest\docs\topics\bitnet-gate.md","bitnet-gate.md","02-08-2026 08:49:42","5048"
"D:\Tradelatest\docs\research-readiness\config-reachability-report.md","config-reachability-report.md","02-08-2026 08:49:42","43019"
"D:\Tradelatest\docs\research-readiness\behavior-census-report.md","behavior-census-report.md","02-08-2026 08:49:42","21514"
"D:\Tradelatest\docs\research-readiness\README.md","README.md","02-08-2026 08:49:42","5215"
"D:\Tradelatest\docs\reference\config-reference.md","config-reference.md","02-08-2026 08:49:42","40255"
"D:\Tradelatest\docs\implementation_plan\orient-artifacts-tradelatest-state-summ-effervescent-backus.md","orient-artifacts-tradelatest-state-summ-effervescent-backus.md","02-08-2026 08:49:42","8539"
"D:\Tradelatest\docs\governance\user-progress-registry.md","user-progress-registry.md","02-08-2026 08:49:42","14486"
"D:\Tradelatest\docs\governance\crt_closure_report.md","crt_closure_report.md","02-08-2026 08:49:42","5584"
"D:\Tradelatest\docs\architecture\roadmap.md","roadmap.md","02-08-2026 08:49:42","12817"
"D:\Tradelatest\docs\architecture\module-roles.generated.md","module-roles.generated.md","02-08-2026 08:49:42","32316"
"D:\Tradelatest\docs\architecture\goal.md","goal.md","02-08-2026 08:49:42","9765"
"D:\Tradelatest\docs\architecture\event-taxonomy.md","event-taxonomy.md","02-08-2026 08:49:42","12100"
"D:\Tradelatest\docs\architecture\entry-exit-map.md","entry-exit-map.md","02-08-2026 08:49:42","7978"
"D:\Tradelatest\docs\architecture\code-map.generated.md","code-map.generated.md","02-08-2026 08:49:42","80491"
"D:\Tradelatest\docs\architecture\citation-map.generated.md","citation-map.generated.md","02-08-2026 08:49:42","2702"
"D:\Tradelatest\docs\analysis\readme.md","readme.md","02-08-2026 08:49:42","13085"
"D:\Tradelatest\docs\research\preregistration-blind-label-descriptive-fidelity.md","preregistration-blind-label-descriptive-fidelity.md","01-08-2026 16:55:03","9261"
"D:\Tradelatest\docs\implementation_plan\d-tradelatest-results-feature-trace-sem-goofy-hanrahan.md","d-tradelatest-results-feature-trace-sem-goofy-hanrahan.md","01-08-2026 15:53:04","3802"
"D:\Tradelatest\docs\implementation_plan\dataset-navigation-use-the-snug-sparrow.md","dataset-navigation-use-the-snug-sparrow.md","01-08-2026 15:41:08","6839"
"D:\Tradelatest\docs\governance\xauusd_crt_baseline_trace\xauusd_crt_baseline_trace_v1.summary.md","xauusd_crt_baseline_trace_v1.summary.md","01-08-2026 00:17:16","6229"
"D:\Tradelatest\docs\governance\fm_ownership_consumer_matrix.md","fm_ownership_consumer_matrix.md","01-08-2026 00:06:26","8936"
"D:\Tradelatest\docs\governance\feature_dag_layers-2026-07-31.md","feature_dag_layers-2026-07-31.md","31-07-2026 23:40:33","3602"
"D:\Tradelatest\docs\governance\feature-layer-mutation-freeze-2026-07-20.md","feature-layer-mutation-freeze-2026-07-20.md","31-07-2026 23:03:40","12080"
"D:\Tradelatest\docs\governance\feature_surface_closure_audit-2026-07-31.md","feature_surface_closure_audit-2026-07-31.md","31-07-2026 11:21:03","10199"
"D:\Tradelatest\docs\governance\feature_38_lineage_census-2026-07-31.md","feature_38_lineage_census-2026-07-31.md","31-07-2026 11:20:56","39693"
"D:\Tradelatest\docs\implementation_plan\semantic-layer-certification-audit-proud-mccarthy.md","semantic-layer-certification-audit-proud-mccarthy.md","31-07-2026 10:32:01","28585"
"D:\Tradelatest\docs\implementation_plan\pure-claude-coding-agent-floofy-locket.md","pure-claude-coding-agent-floofy-locket.md","31-07-2026 09:34:06","25270"
