utc,action,source,dest,sha256,note
2026-09-14T12:56:00Z,copied_before_edit,docs/reference/architecture.md,archive/architecture_ui_closure_2026-09-14/docs/reference/architecture.md,2c9ff6af56259e61c220b1e4e005ef43dc299fc379c23278f65d8c72d1d50c4e,pre-edit
2026-09-14T12:56:00Z,edited_in_place,docs/reference/architecture.md,archive/architecture_ui_closure_2026-09-14/docs/reference/architecture.md,54741f1c2beb28972ea40e5a375dcda88b358e7d96cae7634e87cd4723c677b2,probes + ui_kits + run_id + retrieval sections
2026-09-14T12:56:00Z,copied_before_edit,docs/memory/architecture-memory.md,archive/architecture_ui_closure_2026-09-14/docs/memory/architecture-memory.md,77d65df663cfb607baa0d64de2308ee07e44732c1ae8d3462d275a49d357932b,pre-edit
2026-09-14T12:56:00Z,edited_in_place,docs/memory/architecture-memory.md,archive/architecture_ui_closure_2026-09-14/docs/memory/architecture-memory.md,dea9f81e8fe0f599534e966f3508d2ac15c2d2a15bd6409c54a8e8fac65364e7,index probes/ui_kits/run_id/knowledge
2026-09-14T12:56:00Z,copied_before_edit,docs/UI_DESIGN_GAP_FROM_LIVE.md,archive/architecture_ui_closure_2026-09-14/docs/UI_DESIGN_GAP_FROM_LIVE.md,1d383df9e90573d0b1d93ff23c991f32f367e5728264d45657cca491f9270aae,pre-edit
2026-09-14T12:56:00Z,edited_in_place,docs/UI_DESIGN_GAP_FROM_LIVE.md,archive/architecture_ui_closure_2026-09-14/docs/UI_DESIGN_GAP_FROM_LIVE.md,a7eb52eaea5668a98f383d45cdf47a5d00195f8f3bbf6f5e2e996293f1b67650,supersedes archaeology pointer
2026-09-14T12:56:00Z,copied_before_edit,docs/implementation_plan/ui-design-plan-closure-runid-2026-09-14.md,archive/architecture_ui_closure_2026-09-14/docs/implementation_plan/ui-design-plan-closure-runid-2026-09-14.md,fb948f3249c655621cfd73ac06aaca984192e0a9dd6e242539ed5678a0d7b3ad,pre-edit
2026-09-14T12:56:00Z,edited_in_place,docs/implementation_plan/ui-design-plan-closure-runid-2026-09-14.md,archive/architecture_ui_closure_2026-09-14/docs/implementation_plan/ui-design-plan-closure-runid-2026-09-14.md,9e44bcc63877bfb379f88f2ea35bbad63e82b247119bbf77fcddee8743620de1,historical archaeology stance
2026-09-14T12:56:00Z,copied_before_edit,ui_kits/control_plane/App.jsx,archive/architecture_ui_closure_2026-09-14/ui_kits/control_plane/App.jsx,f882681a11d244d28d53d1922a22c8fe847ee44f85a5e284486bf4203e0fc3df,pre-edit
2026-09-14T12:56:00Z,edited_in_place,ui_kits/control_plane/App.jsx,archive/architecture_ui_closure_2026-09-14/ui_kits/control_plane/App.jsx,3fedf0b301166c1fb8dd225d8ff78bd9ab80bfd32e37acf7b3358a2d9cf2ad8f,?run= deep link + selectRun URL sync
2026-09-14T12:56:00Z,copied_before_edit,ui_kits/control_plane/InspectorPanel.jsx,archive/architecture_ui_closure_2026-09-14/ui_kits/control_plane/InspectorPanel.jsx,714a14cbba27eb8b565de7e2ce97b63e77ed78698d0148c281e60b870a78912f,pre-edit
2026-09-14T12:56:00Z,edited_in_place,ui_kits/control_plane/InspectorPanel.jsx,archive/architecture_ui_closure_2026-09-14/ui_kits/control_plane/InspectorPanel.jsx,643cbc0db68b88e8f7f07c8250eae570046e9a11683cc3e40ab1cf61f86f40a7,Closure section + rename panel
2026-09-14T12:57:03Z,edited_in_place,docs/reference/architecture.md,archive/architecture_ui_closure_2026-09-14/docs/reference/architecture.md,090febe34a6f3a6dba03fb9f27983f05fb9633b9549ead49708fbbc1d90a3612,insert ui_kits into directory tree
