date,total_opps,long,short,win_rate,avg_rr,tp_hits,sl_hits,timeouts,sweep_count,double_sweep,displacement_count,retest_avg_depth,avg_regime,avg_volatility_ratio,avg_trend_bias
2020-01-02,32,16,16,0.375,0.125,12,20,0,6,0,10,0.5293,0.0,1.111,0.375
2020-01-03,136,68,68,0.368,0.103,50,86,0,14,2,40,0.4598,0.71,1.034,-0.235
2020-01-05,56,28,28,0.321,-0.036,18,38,0,10,0,16,0.2993,0.14,0.891,0.643
2020-01-06,192,96,96,0.374,0.135,67,112,13,22,6,52,0.5591,0.42,0.982,0.292
2020-01-07,192,96,96,0.396,0.188,76,116,0,12,6,42,0.476,0.72,1.069,-0.479
2020-01-08,192,96,96,0.283,-0.151,53,134,5,20,12,40,0.511,0.62,0.986,-0.625
2020-01-09,192,96,96,0.262,-0.188,45,127,20,34,22,44,0.2987,0.44,1.018,-0.292
2020-01-10,136,68,68,0.252,-0.202,32,95,9,24,4,24,0.5155,0.63,1.068,0.235
2020-01-12,56,28,28,0.393,0.179,22,34,0,4,0,16,0.1072,0.0,0.982,0.571
2020-01-13,192,96,96,0.3,-0.064,54,126,12,28,10,32,0.3481,0.39,1.012,0.271
2020-01-14,192,96,96,0.335,0.019,59,117,16,22,8,36,0.3656,0.36,1.009,0.146
2020-01-15,192,96,96,0.339,0.053,60,117,15,10,4,50,0.3983,0.38,1.015,0.396
2020-01-16,192,96,96,0.324,-0.014,56,117,19,14,10,42,0.5839,0.51,1.065,-0.354
2020-01-17,136,68,68,0.297,-0.04,35,83,18,10,0,32,0.6208,0.49,0.987,-0.676
2020-01-19,56,28,28,0.393,0.179,22,34,0,6,0,18,0.525,0.0,0.995,0.357
2020-01-20,192,96,96,0.344,0.031,66,126,0,26,18,56,0.3616,0.07,1.039,-0.021
2020-01-21,192,96,96,0.344,0.031,66,126,0,16,8,32,0.403,0.33,1.004,-0.333
2020-01-22,192,96,96,0.375,0.125,72,120,0,16,0,36,0.4943,0.32,1.058,0.146
2020-01-23,192,96,96,0.28,-0.116,49,126,17,20,8,34,0.3846,0.5,0.987,-0.604
2020-01-24,136,68,68,0.351,0.06,47,87,2,20,8,36,0.4226,0.53,1.075,-1.0
2020-01-26,56,28,28,0.214,-0.357,12,44,0,4,0,10,0.6542,0.25,0.845,0.214
2020-01-27,192,96,96,0.282,-0.134,53,135,4,26,8,36,0.3563,0.29,1.024,-0.125
2020-01-28,192,96,96,0.359,0.078,69,123,0,30,20,34,0.5947,0.26,1.017,-0.146
2020-01-29,192,96,96,0.348,0.07,65,122,5,20,8,48,0.3384,0.32,1.047,0.125
2020-01-30,192,96,96,0.326,-0.009,60,124,8,20,14,40,0.3638,0.24,1.012,0.396
2020-01-31,136,68,68,0.301,-0.073,37,86,13,8,0,34,0.6721,0.74,1.096,0.559
2020-02-02,56,28,28,0.232,-0.304,13,43,0,6,2,14,0.5382,0.0,0.906,-0.214
2020-02-03,192,96,96,0.293,-0.077,51,123,18,12,0,38,0.2492,0.35,1.02,-0.438
2020-02-04,192,96,96,0.343,0.078,62,119,11,26,0,30,0.4583,0.3,1.002,-0.479
2020-02-05,192,96,96,0.259,-0.126,45,129,18,26,2,58,0.494,0.36,1.059,-0.875
2020-02-06,192,96,96,0.25,-0.22,44,132,16,18,10,38,0.444,0.31,1.015,0.021
2020-02-07,136,68,68,0.314,-0.024,37,81,18,10,2,38,0.6215,0.81,1.08,-0.735
2020-02-09,56,28,28,0.411,0.232,23,33,0,0,0,10,0.0,0.0,0.939,0.429
2020-02-10,192,96,96,0.276,-0.117,48,126,18,20,4,48,0.3474,0.23,1.017,-0.583
2020-02-11,192,96,96,0.333,0.055,57,114,21,26,8,38,0.3258,0.38,1.002,-0.062
2020-02-12,192,96,96,0.356,0.12,64,116,12,18,8,30,0.2902,0.42,1.029,-0.708
2020-02-13,192,96,96,0.326,-0.011,62,128,2,14,0,36,0.3159,0.42,1.016,-0.646
2020-02-14,136,68,68,0.354,0.072,46,84,6,12,2,30,0.4078,0.65,1.076,0.088
2020-02-16,56,28,28,0.182,-0.428,10,45,1,12,6,12,0.3534,0.0,0.85,-0.357
2020-02-17,192,96,96,0.281,-0.156,54,138,0,22,4,42,0.4365,0.0,1.014,-0.292
2020-02-18,192,96,96,0.384,0.157,73,117,2,22,12,40,0.4897,0.47,1.006,-0.417
2020-02-19,192,96,96,0.328,-0.016,63,129,0,16,8,54,0.5165,0.47,1.053,-0.083
2020-02-20,192,96,96,0.298,-0.082,53,125,14,22,0,36,0.3925,0.61,1.008,-0.375
2020-02-21,136,68,68,0.36,0.081,49,87,0,6,0,24,0.3576,0.88,1.064,0.912
2020-02-23,56,28,28,0.482,0.446,27,29,0,0,0,10,0.0,0.68,0.825,-1.0
2020-02-24,192,96,96,0.279,-0.164,53,137,2,14,0,42,0.3478,0.98,1.038,0.188
2020-02-25,192,96,96,0.349,0.062,66,123,3,12,4,32,0.1998,0.81,1.023,-0.104
2020-02-26,192,96,96,0.349,0.047,67,125,0,16,8,44,0.4309,1.23,1.022,0.458
2020-02-27,192,96,96,0.388,0.176,73,115,4,22,6,38,0.6502,1.26,1.029,0.75
2020-02-28,136,68,68,0.382,0.147,52,84,0,4,0,26,0.0,1.82,1.106,0.382
2020-03-01,56,28,28,0.339,0.018,19,37,0,4,4,12,0.7911,1.79,0.803,1.0
2020-03-02,192,96,96,0.344,0.031,66,126,0,8,0,44,0.5026,1.69,1.036,0.229
2020-03-03,192,96,96,0.313,-0.022,56,123,13,18,0,28,0.3604,1.69,0.973,0.021
2020-03-04,192,96,96,0.317,0.022,51,110,31,16,0,50,0.1941,1.16,0.981,0.021
2020-03-05,192,96,96,0.286,-0.141,55,137,0,16,6,54,0.4442,1.6,1.084,0.688
2020-03-06,136,68,68,0.294,-0.118,40,96,0,10,6,34,0.742,1.81,1.086,0.353
2020-03-08,64,32,32,0.344,0.031,22,42,0,4,0,12,0.813,2.0,1.017,0.938
2020-03-09,192,96,96,0.365,0.094,70,122,0,12,0,48,0.4165,2.0,0.965,0.312
2020-03-10,192,96,96,0.372,0.112,71,120,1,8,0,34,0.2461,1.98,0.975,-0.312
2020-03-11,192,96,96,0.333,0.0,64,128,0,12,0,42,0.6133,1.88,1.046,-0.146
2020-03-12,192,96,96,0.299,-0.039,52,122,18,18,12,44,0.3835,2.0,1.029,-0.229
2020-03-13,128,64,64,0.32,-0.039,41,87,0,30,18,30,0.5126,2.0,1.087,-0.656
2020-03-15,64,32,32,0.422,0.266,27,37,0,2,0,12,0.0641,2.0,0.903,0.0
2020-03-16,192,96,96,0.317,0.047,52,112,28,18,0,38,0.4443,1.98,0.968,0.354
2020-03-17,192,96,96,0.337,0.071,62,122,8,6,0,38,0.9534,1.97,1.013,-0.271
2020-03-18,192,96,96,0.385,0.156,74,118,0,8,0,48,0.548,1.97,1.077,-0.354
2020-03-19,192,96,96,0.377,0.127,72,119,1,18,12,34,0.46,2.0,1.028,-0.604
2020-03-20,128,64,64,0.299,-0.108,38,89,1,18,8,36,0.501,2.0,1.033,-0.406
2020-03-22,64,32,32,0.406,0.219,26,38,0,4,0,14,0.792,2.0,0.875,0.312
2020-03-23,192,96,96,0.302,-0.094,58,134,0,20,0,42,0.5628,2.0,1.024,0.271
2020-03-24,192,96,96,0.288,-0.139,55,136,1,12,2,36,0.5934,2.0,0.99,0.312
2020-03-25,192,96,96,0.286,-0.141,55,137,0,30,18,38,0.4276,2.0,1.006,0.667
