date,total_opps,long,short,win_rate,avg_rr,tp_hits,sl_hits,timeouts,sweep_count,double_sweep,displacement_count,retest_avg_depth,avg_regime,avg_volatility_ratio,avg_trend_bias
2024-01-02,38,19,19,0.0,0.016,0,38,0,6,2,4,0.3906,1.0,0.976,-1.0
2024-01-03,90,45,45,0.0,0.149,0,90,0,14,6,14,0.3651,0.69,0.825,-0.022
2024-01-04,104,52,52,0.0,0.099,0,104,0,22,8,16,0.488,0.63,1.068,0.615
2024-01-05,106,53,53,0.0,-0.021,0,106,0,18,6,12,0.3837,0.94,0.828,-0.057
2024-01-06,118,59,59,0.0,-0.03,0,118,0,24,6,14,0.3175,0.03,0.86,-0.051
2024-01-07,74,37,37,0.0,0.309,0,74,0,12,8,6,0.4923,0.0,0.912,0.297
2024-01-08,58,29,29,0.0,0.333,0,58,0,8,0,4,0.2794,1.0,0.828,0.517
2024-01-09,60,30,30,0.0,0.201,0,60,0,6,0,8,0.3511,1.57,0.835,0.0
2024-01-10,84,42,42,0.0,0.187,0,84,0,14,8,8,0.354,1.29,1.079,-0.381
2024-01-11,70,35,35,0.0,0.252,0,68,2,14,0,8,0.3944,1.31,0.781,-0.714
2024-01-12,110,55,55,0.0,0.05,0,110,0,28,8,18,0.3981,0.89,0.966,-0.782
2024-01-13,84,42,42,0.0,0.015,0,84,0,10,0,8,0.3856,0.14,0.849,-0.19
2024-01-14,98,49,49,0.0,-0.004,0,98,0,16,0,24,0.4901,0.14,1.085,-0.429
2024-01-15,86,43,43,0.0,0.074,0,86,0,14,0,14,0.4236,0.67,0.9,0.07
2024-01-16,102,51,51,0.0,0.156,0,102,0,16,2,16,0.4109,0.16,0.99,0.137
2024-01-17,134,67,67,0.0,-0.002,0,134,0,24,6,22,0.4279,0.19,1.03,-0.612
2024-01-18,116,58,58,0.0,0.242,0,116,0,22,2,2,0.43,0.59,0.827,-0.448
2024-01-19,76,38,38,0.013,0.114,1,75,0,14,0,18,0.4448,0.26,0.908,0.105
2024-01-20,134,67,67,0.0,-0.027,0,134,0,30,12,16,0.3744,0.0,0.944,0.194
2024-01-21,108,54,54,0.0,0.095,0,108,0,24,0,22,0.4158,0.0,1.017,0.037
2024-01-22,56,28,28,0.0,0.341,0,56,0,8,0,10,0.4689,0.46,1.063,-1.0
2024-01-23,108,54,54,0.0,0.015,0,108,0,14,0,8,0.4353,0.76,0.89,0.111
2024-01-24,66,33,33,0.0,-0.044,0,66,0,10,0,12,0.4586,0.18,0.833,0.152
2024-01-25,136,68,68,0.0,-0.013,0,136,0,20,2,4,0.3519,0.0,0.881,0.029
2024-01-26,96,48,48,0.0,0.009,0,96,0,20,0,18,0.3991,0.4,0.932,0.917
2024-01-27,122,61,61,0.0,0.01,0,122,0,22,10,18,0.3746,0.0,0.892,0.18
2024-01-28,112,56,56,0.0,-0.014,0,112,0,20,0,22,0.3978,0.0,0.932,-0.179
2024-01-29,126,63,63,0.0,0.082,0,126,0,22,4,10,0.418,0.11,0.848,0.429
2024-01-30,92,46,46,0.0,0.165,0,92,0,16,6,18,0.4394,0.2,1.057,0.391
2024-01-31,100,50,50,0.01,0.083,1,99,0,24,0,12,0.4262,0.28,0.958,-0.16
2024-02-01,92,46,46,0.0,0.107,0,92,0,18,12,12,0.3572,0.02,0.935,-0.043
2024-02-02,82,41,41,0.0,0.055,0,82,0,10,2,4,0.4857,0.2,0.855,-0.171
2024-02-03,102,51,51,0.0,0.007,0,102,0,22,2,10,0.415,0.0,0.876,-0.608
2024-02-04,76,38,38,0.0,0.099,0,76,0,8,2,10,0.3853,0.0,0.892,-0.737
2024-02-05,60,30,30,0.0,0.238,0,60,0,12,0,8,0.4437,0.0,0.842,0.2
2024-02-06,104,52,52,0.0,0.041,0,104,0,14,4,12,0.403,0.0,0.95,0.654
2024-02-07,64,32,32,0.0,0.228,0,64,0,12,0,8,0.4422,0.03,1.057,0.125
