"File","LOC"
".\src\config_layer\crt_engine_v2.py","2182"
".\src\runtime\backtest_v2.py","2126"
".\.claude\worktrees\wizardly-neumann-923c0e\backtest_v2.py","2093"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\config_layer\crt_engine_v2.py","2052"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\runtime\backtest_v2.py","1910"
".\scripts\governance\behavioral_constant_authority_trace.py","1430"
".\.claude\worktrees\great-poitras-daca89\src\runtime\backtest_v2.py","1304"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\runtime\backtest_v2.py","1277"
".\scripts\training\phase5_calibration.py","1264"
".\scripts\governance\who_numeric_dependency_census.py","1174"
".\scripts\analysis\feature_pipeline_fc05_closure.py","1132"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\config_layer\crt_engine_v2.py","1116"
".\src\core\model_registry.py","1054"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\core\model_registry.py","1043"
".\src\control_plane\registry.py","1042"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\control_plane\registry.py","1042"
".\.claude\worktrees\wizardly-neumann-923c0e\crt_engine_v2.py","1027"
".\scripts\analysis\pit_swing_blast_radius.py","936"
".\scripts\analysis\phase1_run15a_quantity_role_adjudication.py","881"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\scripts\training\phase5_calibration.py","867"
".\scripts\analysis\phase1_run1_feature_truth.py","866"
".\src\core\engine_runner.py","824"
".\scripts\governance\three_authority_surplus_census.py","819"
".\src\control_plane\dashboard_api.py","818"
".\scripts\analysis\feature_semantic_adjudication_pass_a.py","801"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\core\engine_runner.py","784"
".\src\training\stage1_dataset_builder.py","772"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\training\stage1_dataset_builder.py","772"
".\scripts\governance\feature_surface_query.py","752"
".\src\control_plane\server.py","738"
".\scripts\research\momentum_continuation_bnbusdt.py","734"
".\scripts\analysis\feature_surface_closure_audit.py","720"
".\src\runtime\live_engine_hook.py","713"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\runtime\live_engine_hook.py","708"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\control_plane\server.py","676"
".\src\engines\live_engine.py","656"
".\.claude\worktrees\elegant-dubinsky-a2b441\src\engines\live_engine.py","654"
".\scripts\training\auto_tuner_multi.py","646"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\scripts\training\auto_tuner_multi.py","644"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\core\engine_runner.py","624"
".\archive\inout_legacy\ARCHIVED_2026_05_02\probability_engine.py","608"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\src\inout\probability_engine.py","608"
".\src\data_ingestion\dataset_integrity.py","607"
".\scripts\analysis\feature_38_lineage_census.py","605"
".\scripts\training\auto_tuner.py","603"
".\.claude\worktrees\elegant-dubinsky-a2b441\scripts\training\auto_tuner.py","603"
".\.claude\worktrees\xenodochial-rhodes-8e28b3\scripts\training\auto_tuner.py","601"
".\.claude\worktrees\wizardly-neumann-923c0e\auto_tuner.py","601"
".\scripts\research\live_path_replay.py","580"
".\.claude\worktrees\wizardly-neumann-923c0e\auto_tuner_multi.py","579"
