path,loc_approx,class_count,function_count,async_function_count,import_count,internal_import_count,entry_point_markers,config_reads,file_io_hits,subprocess_usage,network_usage,top_level_execution,test_reference_count,parse_status,syntax_error
scripts/__init__.py,0,0,0,0,0,0,[],0,0,0,0,False,17,OK,
scripts/_gate5_compliance_pass.py,71,0,0,0,3,0,[],0,4,0,0,True,0,OK,
scripts/analysis/b2a_feature_candidate_certification.py,515,0,23,0,11,1,"[""__main__"", ""function:main""]",0,1,0,0,True,1,OK,
scripts/analysis/behavior_census.py,330,0,13,0,8,0,"[""__main__"", ""function:main""]",0,0,0,0,True,1,OK,
scripts/analysis/bnb_ema_gate_ab.py,162,0,5,0,11,3,"[""__main__"", ""function:main""]",0,0,1,0,True,0,OK,
scripts/analysis/bnbusdt_trade_anatomy.py,434,0,16,0,18,1,"[""__main__"", ""function:main""]",0,5,0,0,True,0,OK,
scripts/analysis/build_feature_contract_v1_seed.py,229,0,2,0,6,1,"[""__main__"", ""function:main""]",0,0,0,0,True,0,OK,
scripts/analysis/build_pattern_library.py,238,0,5,0,9,0,"[""__main__"", ""function:main""]",0,0,0,0,True,0,OK,
scripts/analysis/compare_bitnet_cpp_python.py,16,0,1,0,2,0,[],0,2,0,0,True,0,OK,
scripts/analysis/compress_logs_for_llm.py,273,0,7,0,10,1,"[""__main__"", ""function:main""]",0,2,0,0,True,0,OK,
scripts/analysis/config_reachability.py,386,0,16,0,10,2,"[""__main__"", ""function:main""]",3,0,0,0,True,2,OK,
scripts/analysis/consensus_sweep.py,289,0,9,0,9,2,"[""__main__"", ""function:main""]",0,0,0,0,True,0,OK,
scripts/analysis/crt_xauusd_runtime_trace.py,403,0,5,0,12,4,"[""__main__"", ""function:main""]",2,3,0,0,True,1,OK,
scripts/analysis/daily_crypto_structure.py,95,0,2,0,6,0,"[""__main__""]",0,2,0,0,False,0,OK,
scripts/analysis/detection_sweep.py,153,0,3,0,9,1,"[""__main__"", ""function:main""]",0,0,0,0,True,0,OK,
scripts/analysis/early_invalidation_ab.py,167,0,4,0,8,0,"[""__main__"", ""function:main"", ""function:run""]",0,0,0,0,True,0,OK,
scripts/analysis/early_invalidation_exectrade_ab.py,187,0,7,0,9,0,"[""__main__"", ""function:main"", ""function:run""]",0,1,0,0,True,0,OK,
scripts/analysis/exit_model_band.py,48,0,1,0,6,1,"[""__main__"", ""function:main""]",0,0,0,0,True,1,OK,
scripts/analysis/feature_38_lineage_census.py,610,0,2,0,12,2,"[""__main__"", ""function:main""]",0,1,0,0,True,1,OK,
scripts/analysis/feature_dag_layers.py,263,0,6,0,8,2,"[""__main__"", ""function:main""]",0,0,0,0,True,2,OK,
